Time,UnixTime,Hr
17.7278978824615,1631513824.3301,66.20383
27.4470977783203,1631513834.0493,132.4077
27.9314978122711,1631513834.5337,123.8652
28.3846378326416,1631513834.98684,132.4077
28.8690378665924,1631513835.47124,123.8652
29.3378078937531,1631513835.94001,127.9941
29.8534579277039,1631513836.45566,116.3583
30.3066077232361,1631513836.90881,132.4077
30.7753777503967,1631513837.37758,127.9941
31.2128977775574,1631513837.8151,137.1365
31.7754278182983,1631513838.37763,106.6617
32.2285678386688,1631513838.83077,132.4077
32.7129678726196,1631513839.31517,123.8652
33.1817378997803,1631513839.78394,127.9941
33.6817579269409,1631513840.28396,119.9945
34.1505377292633,1631513840.75274,127.9941
34.619307756424,1631513841.22151,127.994
35.1037077903748,1631513841.70591,123.8652
272.474067926407,1631514079.07627,174.5373
272.817837715149,1631514079.42004,174.5373
